2024-06-07 16:01:33.191 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2024-06-07 16:01:33.192 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-06-07 16:01:33.193 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-07 16:01:33.250 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-07 16:01:33.251 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1434 ms
2024-06-07 16:01:34.019 [main] INFO  org.chenzc.communi.xxl.config.XxlJobConfig - xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxl-joooooooooooooooooooob init
2024-06-07 16:01:34.756 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2024-06-07 16:01:34.814 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:communiFlowJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@589a4305[class org.chenzc.communi.handler.CronTaskHandler#execute]
2024-06-07 16:01:34.816 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:nightShieldLazyJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@95aeee4[class org.chenzc.communi.handler.NightShieldHandler#execute]
2024-06-07 16:01:34.910 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2024-06-07 16:01:34.916 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 3000 (http) with context path '/'
2024-06-07 16:01:34.932 [main] INFO  org.chenzc.communi.CommuniApplication - Started CommuniApplication in 9.552 seconds (process running for 15.345)
2024-06-07 16:01:35.030 [Thread-4] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9997
2024-06-07 16:01:35.134 [RMI TCP Connection(2)-192.168.138.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Starting...
2024-06-07 16:01:35.134 [RMI TCP Connection(1)-192.168.138.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-07 16:01:35.135 [RMI TCP Connection(1)-192.168.138.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-07 16:01:35.136 [RMI TCP Connection(1)-192.168.138.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-06-07 16:03:02.092 [Thread-4] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server stop.
2024-06-07 16:03:02.100 [xxl-job, executor ExecutorRegistryThread] INFO  com.xxl.job.core.thread.ExecutorRegistryThread - >>>>>>>>>>> xxl-job registry-remove success, registryParam:RegistryParam{registryGroup='EXECUTOR', registryKey='communiFlow', registryValue='http://127.0.0.1:9997/'}, registryResult:ReturnT [code=200, msg=null, content=null]
2024-06-07 16:03:03.106 [xxl-job, executor ExecutorRegistryThread] INFO  com.xxl.job.core.thread.ExecutorRegistryThread - >>>>>>>>>>> xxl-job, executor registry thread destory.
2024-06-07 16:03:03.107 [SpringApplicationShutdownHook] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server destroy success.
2024-06-07 16:03:03.107 [xxl-job, executor TriggerCallbackThread] INFO  com.xxl.job.core.thread.TriggerCallbackThread - >>>>>>>>>>> xxl-job, executor callback thread destory.
2024-06-07 16:03:03.108 [Thread-3] INFO  com.xxl.job.core.thread.TriggerCallbackThread - >>>>>>>>>>> xxl-job, executor retry callback thread destory.
2024-06-07 16:03:16.111 [main] INFO  org.chenzc.communi.CommuniApplication - Starting CommuniApplication using Java 17.0.11 with PID 29396 (D:\Idea\IdeaProject\communiFlow\communi-application\target\classes started by chenz in D:\Idea\IdeaProject\communiFlow)
2024-06-07 16:03:17.124 [main] INFO  org.chenzc.communi.CommuniApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-07 16:03:18.012 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-07 16:03:18.015 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-07 16:03:18.054 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 0 Redis repository interfaces.
2024-06-07 16:03:19.180 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 3000 (http)
2024-06-07 16:03:19.194 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-3000"]
2024-06-07 16:03:19.196 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-06-07 16:03:19.197 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-07 16:03:19.294 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-07 16:03:19.295 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2000 ms
2024-06-07 16:03:20.404 [main] INFO  org.chenzc.communi.xxl.config.XxlJobConfig - xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxl-joooooooooooooooooooob init
2024-06-07 16:03:21.493 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2024-06-07 16:03:21.588 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:communiFlowJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@1828ab51[class org.chenzc.communi.handler.CronTaskHandler#execute]
2024-06-07 16:03:21.590 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:nightShieldLazyJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@28c75c93[class org.chenzc.communi.handler.NightShieldHandler#execute]
2024-06-07 16:03:21.749 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-3000"]
2024-06-07 16:03:21.760 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 3000 (http) with context path '/'
2024-06-07 16:03:21.790 [main] INFO  org.chenzc.communi.CommuniApplication - Started CommuniApplication in 11.152 seconds (process running for 17.234)
2024-06-07 16:03:21.871 [Thread-4] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9997
2024-06-07 16:03:22.242 [RMI TCP Connection(5)-192.168.138.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-07 16:03:22.242 [RMI TCP Connection(5)-192.168.138.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-07 16:03:22.244 [RMI TCP Connection(4)-192.168.138.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariCP - Starting...
2024-06-07 16:03:22.245 [RMI TCP Connection(5)-192.168.138.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-06-07 16:04:04.593 [Thread-4] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server stop.
2024-06-07 16:04:04.597 [xxl-job, executor ExecutorRegistryThread] INFO  com.xxl.job.core.thread.ExecutorRegistryThread - >>>>>>>>>>> xxl-job registry-remove success, registryParam:RegistryParam{registryGroup='EXECUTOR', registryKey='communiFlow', registryValue='http://127.0.0.1:9997/'}, registryResult:ReturnT [code=200, msg=null, content=null]
2024-06-07 16:04:05.607 [xxl-job, executor ExecutorRegistryThread] INFO  com.xxl.job.core.thread.ExecutorRegistryThread - >>>>>>>>>>> xxl-job, executor registry thread destory.
2024-06-07 16:04:05.608 [SpringApplicationShutdownHook] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server destroy success.
2024-06-07 16:04:05.609 [xxl-job, executor TriggerCallbackThread] INFO  com.xxl.job.core.thread.TriggerCallbackThread - >>>>>>>>>>> xxl-job, executor callback thread destory.
2024-06-07 16:04:05.610 [Thread-3] INFO  com.xxl.job.core.thread.TriggerCallbackThread - >>>>>>>>>>> xxl-job, executor retry callback thread destory.
